"greenhousegas","sector","time","Greenlands total emission of greenhousegasses"
"Total emission","Total (net emissions)","1990",653216
"Total emission","Total (net emissions)","1991",638634
"Total emission","Total (net emissions)","1992",623622
"Total emission","Total (net emissions)","1993",572582
"Total emission","Total (net emissions)","1994",523162
"Total emission","Total (net emissions)","1995",562656
"Total emission","Total (net emissions)","1996",626461
"Total emission","Total (net emissions)","1997",648374
"Total emission","Total (net emissions)","1998",628070
"Total emission","Total (net emissions)","1999",625643
"Total emission","Total (net emissions)","2000",698634
"Total emission","Total (net emissions)","2001",650380
"Total emission","Total (net emissions)","2002",612107
"Total emission","Total (net emissions)","2003",684375
"Total emission","Total (net emissions)","2004",675710
"Total emission","Total (net emissions)","2005",680118
"Total emission","Total (net emissions)","2006",698169
"Total emission","Total (net emissions)","2007",689457
"Total emission","Total (net emissions)","2008",715782
"Total emission","Total (net emissions)","2009",628189
"Total emission","Total (net emissions)","2010",714933
"Total emission","Total (net emissions)","2011",762474
"Total emission","Total (net emissions)","2012",615754
"Total emission","Total (net emissions)","2013",598263
"Total emission","Total (net emissions)","2014",557450
"Total emission","Total (net emissions)","2015",560220
"Total emission","Total (net emissions)","2016",562309
"Total emission","Total (net emissions)","2017",579112
"Total emission","Total (net emissions)","2018",579641
"Total emission","Total (net emissions)","2019",592804
"Total emission","Total (net emissions)","2020",576685
"Total emission","Total (net emissions)","2021",606547
"Total emission","1. Emissions from fuel combustion","1990",625203
"Total emission","1. Emissions from fuel combustion","1991",610360
"Total emission","1. Emissions from fuel combustion","1992",596179
"Total emission","1. Emissions from fuel combustion","1993",545953
"Total emission","1. Emissions from fuel combustion","1994",495672
"Total emission","1. Emissions from fuel combustion","1995",534283
"Total emission","1. Emissions from fuel combustion","1996",597088
"Total emission","1. Emissions from fuel combustion","1997",617820
"Total emission","1. Emissions from fuel combustion","1998",596548
"Total emission","1. Emissions from fuel combustion","1999",594322
"Total emission","1. Emissions from fuel combustion","2000",667980
"Total emission","1. Emissions from fuel combustion","2001",618238
"Total emission","1. Emissions from fuel combustion","2002",579806
"Total emission","1. Emissions from fuel combustion","2003",650205
"Total emission","1. Emissions from fuel combustion","2004",640542
"Total emission","1. Emissions from fuel combustion","2005",644654
"Total emission","1. Emissions from fuel combustion","2006",663146
"Total emission","1. Emissions from fuel combustion","2007",653927
"Total emission","1. Emissions from fuel combustion","2008",678708
"Total emission","1. Emissions from fuel combustion","2009",593346
"Total emission","1. Emissions from fuel combustion","2010",679621
"Total emission","1. Emissions from fuel combustion","2011",726386
"Total emission","1. Emissions from fuel combustion","2012",579437
"Total emission","1. Emissions from fuel combustion","2013",562684
"Total emission","1. Emissions from fuel combustion","2014",521957
"Total emission","1. Emissions from fuel combustion","2015",525064
"Total emission","1. Emissions from fuel combustion","2016",526267
"Total emission","1. Emissions from fuel combustion","2017",543465
"Total emission","1. Emissions from fuel combustion","2018",544114
"Total emission","1. Emissions from fuel combustion","2019",554989
"Total emission","1. Emissions from fuel combustion","2020",536706
"Total emission","1. Emissions from fuel combustion","2021",566518
"Total emission","  1.A Energy Industries","1990",182907
"Total emission","  1.A Energy Industries","1991",177649
"Total emission","  1.A Energy Industries","1992",173496
"Total emission","  1.A Energy Industries","1993",157022
"Total emission","  1.A Energy Industries","1994",140493
"Total emission","  1.A Energy Industries","1995",121304
"Total emission","  1.A Energy Industries","1996",122179
"Total emission","  1.A Energy Industries","1997",129145
"Total emission","  1.A Energy Industries","1998",127063
"Total emission","  1.A Energy Industries","1999",129255
"Total emission","  1.A Energy Industries","2000",132786
"Total emission","  1.A Energy Industries","2001",133920
"Total emission","  1.A Energy Industries","2002",134609
"Total emission","  1.A Energy Industries","2003",135186
"Total emission","  1.A Energy Industries","2004",139235
"Total emission","  1.A Energy Industries","2005",137861
"Total emission","  1.A Energy Industries","2006",143147
"Total emission","  1.A Energy Industries","2007",135879
"Total emission","  1.A Energy Industries","2008",144765
"Total emission","  1.A Energy Industries","2009",126802
"Total emission","  1.A Energy Industries","2010",227582
"Total emission","  1.A Energy Industries","2011",253042
"Total emission","  1.A Energy Industries","2012",111965
"Total emission","  1.A Energy Industries","2013",96162
"Total emission","  1.A Energy Industries","2014",97593
"Total emission","  1.A Energy Industries","2015",111962
"Total emission","  1.A Energy Industries","2016",92872
"Total emission","  1.A Energy Industries","2017",95993
"Total emission","  1.A Energy Industries","2018",99871
"Total emission","  1.A Energy Industries","2019",93069
"Total emission","  1.A Energy Industries","2020",98800
"Total emission","  1.A Energy Industries","2021",100579
"Total emission","  1.B Industry and Construction","1990",26558
"Total emission","  1.B Industry and Construction","1991",25774
"Total emission","  1.B Industry and Construction","1992",25144
"Total emission","  1.B Industry and Construction","1993",22714
"Total emission","  1.B Industry and Construction","1994",20284
"Total emission","  1.B Industry and Construction","1995",43973
"Total emission","  1.B Industry and Construction","1996",44645
"Total emission","  1.B Industry and Construction","1997",46298
"Total emission","  1.B Industry and Construction","1998",40147
"Total emission","  1.B Industry and Construction","1999",45954
"Total emission","  1.B Industry and Construction","2000",48285
"Total emission","  1.B Industry and Construction","2001",45815
"Total emission","  1.B Industry and Construction","2002",43313
"Total emission","  1.B Industry and Construction","2003",49922
"Total emission","  1.B Industry and Construction","2004",50905
"Total emission","  1.B Industry and Construction","2005",55236
"Total emission","  1.B Industry and Construction","2006",55831
"Total emission","  1.B Industry and Construction","2007",57611
"Total emission","  1.B Industry and Construction","2008",59550
"Total emission","  1.B Industry and Construction","2009",43315
"Total emission","  1.B Industry and Construction","2010",38854
"Total emission","  1.B Industry and Construction","2011",47423
"Total emission","  1.B Industry and Construction","2012",36657
"Total emission","  1.B Industry and Construction","2013",39437
"Total emission","  1.B Industry and Construction","2014",25291
"Total emission","  1.B Industry and Construction","2015",23516
"Total emission","  1.B Industry and Construction","2016",26546
"Total emission","  1.B Industry and Construction","2017",26045
"Total emission","  1.B Industry and Construction","2018",30370
"Total emission","  1.B Industry and Construction","2019",29234
"Total emission","  1.B Industry and Construction","2020",29427
"Total emission","  1.B Industry and Construction","2021",39776
"Total emission","  1.C Transport","1990",97185
"Total emission","  1.C Transport","1991",96684
"Total emission","  1.C Transport","1992",94658
"Total emission","  1.C Transport","1993",88206
"Total emission","  1.C Transport","1994",81754
"Total emission","  1.C Transport","1995",89859
"Total emission","  1.C Transport","1996",93813
"Total emission","  1.C Transport","1997",97859
"Total emission","  1.C Transport","1998",102348
"Total emission","  1.C Transport","1999",105769
"Total emission","  1.C Transport","2000",107177
"Total emission","  1.C Transport","2001",97286
"Total emission","  1.C Transport","2002",93598
"Total emission","  1.C Transport","2003",102608
"Total emission","  1.C Transport","2004",114950
"Total emission","  1.C Transport","2005",113329
"Total emission","  1.C Transport","2006",122704
"Total emission","  1.C Transport","2007",111842
"Total emission","  1.C Transport","2008",118668
"Total emission","  1.C Transport","2009",107372
"Total emission","  1.C Transport","2010",109883
"Total emission","  1.C Transport","2011",117027
"Total emission","  1.C Transport","2012",112165
"Total emission","  1.C Transport","2013",111531
"Total emission","  1.C Transport","2014",106052
"Total emission","  1.C Transport","2015",105414
"Total emission","  1.C Transport","2016",113305
"Total emission","  1.C Transport","2017",120127
"Total emission","  1.C Transport","2018",114289
"Total emission","  1.C Transport","2019",128448
"Total emission","  1.C Transport","2020",93342
"Total emission","  1.C Transport","2021",104291
"Total emission","  1.D Other Sectors","1990",318554
"Total emission","  1.D Other Sectors","1991",310252
"Total emission","  1.D Other Sectors","1992",302881
"Total emission","  1.D Other Sectors","1993",278011
"Total emission","  1.D Other Sectors","1994",253141
"Total emission","  1.D Other Sectors","1995",279147
"Total emission","  1.D Other Sectors","1996",336452
"Total emission","  1.D Other Sectors","1997",344518
"Total emission","  1.D Other Sectors","1998",326990
"Total emission","  1.D Other Sectors","1999",313344
"Total emission","  1.D Other Sectors","2000",379732
"Total emission","  1.D Other Sectors","2001",341217
"Total emission","  1.D Other Sectors","2002",308286
"Total emission","  1.D Other Sectors","2003",362489
"Total emission","  1.D Other Sectors","2004",335452
"Total emission","  1.D Other Sectors","2005",338228
"Total emission","  1.D Other Sectors","2006",341463
"Total emission","  1.D Other Sectors","2007",348595
"Total emission","  1.D Other Sectors","2008",355725
"Total emission","  1.D Other Sectors","2009",315857
"Total emission","  1.D Other Sectors","2010",303302
"Total emission","  1.D Other Sectors","2011",308894
"Total emission","  1.D Other Sectors","2012",318650
"Total emission","  1.D Other Sectors","2013",315554
"Total emission","  1.D Other Sectors","2014",293022
"Total emission","  1.D Other Sectors","2015",284172
"Total emission","  1.D Other Sectors","2016",293544
"Total emission","  1.D Other Sectors","2017",301299
"Total emission","  1.D Other Sectors","2018",299584
"Total emission","  1.D Other Sectors","2019",304238
"Total emission","  1.D Other Sectors","2020",315137
"Total emission","  1.D Other Sectors","2021",321871
"Total emission","2. Industrial Processes","1990",515
"Total emission","2. Industrial Processes","1991",501
"Total emission","2. Industrial Processes","1992",508
"Total emission","2. Industrial Processes","1993",560
"Total emission","2. Industrial Processes","1994",535
"Total emission","2. Industrial Processes","1995",599
"Total emission","2. Industrial Processes","1996",489
"Total emission","2. Industrial Processes","1997",984
"Total emission","2. Industrial Processes","1998",1482
"Total emission","2. Industrial Processes","1999",2177
"Total emission","2. Industrial Processes","2000",2569
"Total emission","2. Industrial Processes","2001",3717
"Total emission","2. Industrial Processes","2002",4968
"Total emission","2. Industrial Processes","2003",6323
"Total emission","2. Industrial Processes","2004",6921
"Total emission","2. Industrial Processes","2005",7027
"Total emission","2. Industrial Processes","2006",6793
"Total emission","2. Industrial Processes","2007",7199
"Total emission","2. Industrial Processes","2008",7581
"Total emission","2. Industrial Processes","2009",7818
"Total emission","2. Industrial Processes","2010",8187
"Total emission","2. Industrial Processes","2011",8562
"Total emission","2. Industrial Processes","2012",9370
"Total emission","2. Industrial Processes","2013",9729
"Total emission","2. Industrial Processes","2014",10077
"Total emission","2. Industrial Processes","2015",10589
"Total emission","2. Industrial Processes","2016",10695
"Total emission","2. Industrial Processes","2017",10804
"Total emission","2. Industrial Processes","2018",10687
"Total emission","2. Industrial Processes","2019",12126
"Total emission","2. Industrial Processes","2020",13768
"Total emission","2. Industrial Processes","2021",13698
"Total emission","  2.A Solvents","1990",515
"Total emission","  2.A Solvents","1991",501
"Total emission","  2.A Solvents","1992",508
"Total emission","  2.A Solvents","1993",543
"Total emission","  2.A Solvents","1994",508
"Total emission","  2.A Solvents","1995",532
"Total emission","  2.A Solvents","1996",399
"Total emission","  2.A Solvents","1997",559
"Total emission","  2.A Solvents","1998",698
"Total emission","  2.A Solvents","1999",790
"Total emission","  2.A Solvents","2000",562
"Total emission","  2.A Solvents","2001",571
"Total emission","  2.A Solvents","2002",742
"Total emission","  2.A Solvents","2003",1260
"Total emission","  2.A Solvents","2004",1125
"Total emission","  2.A Solvents","2005",1284
"Total emission","  2.A Solvents","2006",948
"Total emission","  2.A Solvents","2007",989
"Total emission","  2.A Solvents","2008",1018
"Total emission","  2.A Solvents","2009",1006
"Total emission","  2.A Solvents","2010",898
"Total emission","  2.A Solvents","2011",879
"Total emission","  2.A Solvents","2012",942
"Total emission","  2.A Solvents","2013",765
"Total emission","  2.A Solvents","2014",807
"Total emission","  2.A Solvents","2015",814
"Total emission","  2.A Solvents","2016",698
"Total emission","  2.A Solvents","2017",720
"Total emission","  2.A Solvents","2018",911
"Total emission","  2.A Solvents","2019",886
"Total emission","  2.A Solvents","2020",746
"Total emission","  2.A Solvents","2021",663
"Total emission","  2.B Industrial Processes","1990",0
"Total emission","  2.B Industrial Processes","1991",0
"Total emission","  2.B Industrial Processes","1992",0
"Total emission","  2.B Industrial Processes","1993",18
"Total emission","  2.B Industrial Processes","1994",27
"Total emission","  2.B Industrial Processes","1995",67
"Total emission","  2.B Industrial Processes","1996",90
"Total emission","  2.B Industrial Processes","1997",425
"Total emission","  2.B Industrial Processes","1998",784
"Total emission","  2.B Industrial Processes","1999",1387
"Total emission","  2.B Industrial Processes","2000",2007
"Total emission","  2.B Industrial Processes","2001",3147
"Total emission","  2.B Industrial Processes","2002",4226
"Total emission","  2.B Industrial Processes","2003",5063
"Total emission","  2.B Industrial Processes","2004",5797
"Total emission","  2.B Industrial Processes","2005",5743
"Total emission","  2.B Industrial Processes","2006",5845
"Total emission","  2.B Industrial Processes","2007",6211
"Total emission","  2.B Industrial Processes","2008",6563
"Total emission","  2.B Industrial Processes","2009",6812
"Total emission","  2.B Industrial Processes","2010",7290
"Total emission","  2.B Industrial Processes","2011",7684
"Total emission","  2.B Industrial Processes","2012",8428
"Total emission","  2.B Industrial Processes","2013",8965
"Total emission","  2.B Industrial Processes","2014",9270
"Total emission","  2.B Industrial Processes","2015",9775
"Total emission","  2.B Industrial Processes","2016",9997
"Total emission","  2.B Industrial Processes","2017",10083
"Total emission","  2.B Industrial Processes","2018",9776
"Total emission","  2.B Industrial Processes","2019",11241
"Total emission","  2.B Industrial Processes","2020",13022
"Total emission","  2.B Industrial Processes","2021",13036
"Total emission","3. Agriculture","1990",9547
"Total emission","3. Agriculture","1991",9628
"Total emission","3. Agriculture","1992",8657
"Total emission","3. Agriculture","1993",7634
"Total emission","3. Agriculture","1994",8324
"Total emission","3. Agriculture","1995",8933
"Total emission","3. Agriculture","1996",9771
"Total emission","3. Agriculture","1997",10217
"Total emission","3. Agriculture","1998",10308
"Total emission","3. Agriculture","1999",9660
"Total emission","3. Agriculture","2000",9175
"Total emission","3. Agriculture","2001",9359
"Total emission","3. Agriculture","2002",8945
"Total emission","3. Agriculture","2003",9075
"Total emission","3. Agriculture","2004",9571
"Total emission","3. Agriculture","2005",9976
"Total emission","3. Agriculture","2006",9759
"Total emission","3. Agriculture","2007",9627
